nn1_max50_target_mean,nn1_max100_target_mean,nn1_max200_target_mean,nn1_max500_target_mean,nn3_max50_target_mean,nn3_max100_target_mean,nn3_max200_target_mean,nn3_max500_target_mean,nn5_max50_target_mean,nn5_max100_target_mean,nn5_max200_target_mean,nn5_max500_target_mean,nn10_max50_target_mean,nn10_max100_target_mean,nn10_max200_target_mean,nn10_max500_target_mean,nn1_max50_count,nn1_max100_count,nn1_max200_count,nn1_max500_count,nn3_max50_count,nn3_max100_count,nn3_max200_count,nn3_max500_count,nn5_max50_count,nn5_max100_count,nn5_max200_count,nn5_max500_count,nn10_max50_count,nn10_max100_count,nn10_max200_count,nn10_max500_count,nn1_max50_dist_mean,nn1_max100_dist_mean,nn1_max200_dist_mean,nn1_max500_dist_mean,nn3_max50_dist_mean,nn3_max100_dist_mean,nn3_max200_dist_mean,nn3_max500_dist_mean,nn5_max50_dist_mean,nn5_max100_dist_mean,nn5_max200_dist_mean,nn5_max500_dist_mean,nn10_max50_dist_mean,nn10_max100_dist_mean,nn10_max200_dist_mean,nn10_max500_dist_mean,dist_to_nearest_underperf,dist_to_nearest_normal,underperforming
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.2,0.6,1.0,0.7,0.5,0.4,1,1,1,1,1,3,3,3,1,5,5,5,1,10,10,10,18.964521372201038,56.85088981386588,182.7478592504478,213.56498312144768,18.964521372201038,45.25411790251179,176.15713993446866,216.02971030670747,18.964521372201038,59.062406726531734,178.1594487706446,206.40514355592035,18.964521372201038,67.14206157332957,174.01421271725548,232.32311725839432,213.56498312144768,220.20288628408898,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,9.409623045706454,9.409623045706454,9.409623045706454,9.409623045706454,22.93574166628856,22.93574166628856,22.93574166628856,22.93574166628856,20.891584098747167,20.891584098747167,20.891584098747167,20.891584098747167,24.822953947692252,41.103624780358885,53.30765091244133,53.30765091244133,40.66916438465514,9.409623045706454,0
0.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.4,0.8,1.0,0.0,0.3,0.9,1.0,1,1,1,1,2,3,3,3,2,5,5,5,2,10,10,10,27.42707259416364,57.46428118643894,110.48489889877168,110.48489889877168,31.57358925288834,67.95889664704445,118.75721505400374,175.4588225298387,31.57358925288834,63.06043752558986,117.91904943096532,173.76010537422763,31.57358925288834,67.90403055852066,145.46591043616903,232.14137003704622,110.48489889877168,86.13406381495024,1
1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.2,0.8,0.4,0.2,0.3333333333333333,0.6,0.5,0.3,1,1,1,1,3,3,3,3,5,5,5,5,6,10,10,10,13.945469520797417,87.83296773498459,87.83296773498459,87.83296773498459,30.173990277231052,63.660068406699764,108.24316157577204,108.24316157577204,30.63163655660632,73.20981380169368,96.12118829033594,137.52846801567807,33.209406776973545,75.40838501452103,125.14915445999091,151.75972499214794,87.83296773498459,104.99764597147461,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,25.29125863022993,25.29125863022993,25.29125863022993,25.29125863022993,15.751008634472184,33.736444193448676,33.736444193448676,33.736444193448676,18.690648186332027,29.920686202128174,29.920686202128174,29.920686202128174,23.89778159767679,31.145615587849484,31.145615587849484,31.145615587849484,34.16984689574221,25.29125863022993,1
1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.2,0.4,0.4,0.4,0.2,0.3,0.3,0.3,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,21.648586912113803,93.57273608040737,93.57273608040737,93.57273608040737,19.278558161029434,89.4137331758282,89.4137331758282,89.4137331758282,12.029481489127429,77.44811676802918,77.44811676802918,77.44811676802918,19.375623270861013,84.13116973068239,89.17553651521844,89.17553651521844,97.35079740054755,93.57273608040737,1
,0.0,0.0,0.0,,0.0,0.3333333333333333,0.3333333333333333,,0.2,0.4,0.6,,0.2857142857142857,0.4,0.5,0,1,1,1,0,3,3,3,0,5,5,5,0,7,10,10,,89.19873244718984,89.19873244718984,89.19873244718984,,88.8922644031777,139.4235234341742,175.17910147185333,,88.73978664975667,157.8647159179941,200.52785486044104,,90.04946990756173,155.1922586326572,288.6043992103087,302.32290981797337,89.19873244718984,0
1.0,0.0,1.0,1.0,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.8,0.2,0.4,0.5,0.6,0.2,0.5,1,1,1,1,2,3,3,3,2,5,5,5,2,10,10,10,5.861005331676,78.14731236165322,171.5301829097197,171.5301829097197,23.462054739457265,85.52406590605192,150.89349555213548,297.2219794305883,23.462054739457265,89.63255064341297,159.30190310058882,342.4762947077138,23.462054739457265,71.06800642376967,163.3080727678986,312.2115872630894,171.5301829097197,242.10300623490744,0
0.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.2,0.4,0.4,0.4,0.5,0.4,0.2,0.3,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,21.370406481277424,88.46985789492439,88.46985789492439,88.46985789492439,31.077520186898596,66.98007151337416,66.98007151337416,66.98007151337416,27.60257308425622,65.4889293384773,66.64871038046522,66.64871038046522,31.652742152120616,61.630182574462424,100.33024237177202,143.95630448208846,88.46985789492439,21.370406481277424,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.1,0.0,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,41.75258284334816,59.25764541269952,59.25764541269952,59.25764541269952,34.517489958451534,65.80525333918898,94.26052599730117,126.24694507702759,31.904289652294683,56.6063911635476,106.39710840576436,156.45433427173901,37.31361870549214,50.772546753091184,121.135951917699,171.28585323058746,100.6377880203856,59.25764541269952,1
